
TesterProfile -> GetGeneralProfile -> OnActionExecuted 	- 4/12/2020 11:48:54 AM

GeneralData -> GetGenderTypes -> OnResultExecuting 	- 4/12/2020 11:48:54 AM

GeneralData -> GetGenderTypes -> OnResultExecuted 	- 4/12/2020 11:48:54 AM

TesterProfile -> GetGeneralProfile -> OnActionExecuting 	- 4/12/2020 11:51:51 AM

TesterProfile -> GetGeneralProfile -> OnActionExecuted 	- 4/12/2020 11:51:52 AM

TesterProfile -> GetGeneralProfile -> OnResultExecuting 	- 4/12/2020 11:51:52 AM

TesterProfile -> GetProfilePercentage -> OnResultExecuting 	- 4/12/2020 11:51:52 AM

TesterProfile -> GetProfilePercentage -> OnActionExecuting 	- 4/12/2020 11:52:07 AM

GeneralData -> GetGenderTypes -> OnActionExecuting 	- 4/12/2020 11:52:07 AM

TesterProfile -> GetProfile -> OnActionExecuted 	- 4/12/2020 11:52:07 AM

GeneralData -> GetGenderTypes -> OnActionExecuted 	- 4/12/2020 11:52:07 AM

TesterProfile -> GetGeneralProfile -> OnResultExecuting 	- 4/12/2020 11:52:07 AM

TesterProfile -> GetProfile -> OnResultExecuted 	- 4/12/2020 11:52:07 AM

TesterProfile -> GetGeneralProfile -> OnResultExecuted 	- 4/12/2020 11:52:07 AM

TesterProfile -> GetProfilePercentage -> OnActionExecuting 	- 4/12/2020 11:52:36 AM

TesterProfile -> GetProfile -> OnActionExecuted 	- 4/12/2020 11:52:36 AM

